;Hombre;Mujer;Total;;;
Menor de 1 año;150;131;281;;;
De 1 a 4 años;616;566;1182;;;
De 5 a 9 años;806;748;1554;;;
De 10 a 14 años;672;665;1337;;;
De 15 a 19 años;532;511;1043;;;
De 20 a 24 años;478;347;825;;;
De 25 a 29 años;391;324;715;;;
De 30 a 34 años;367;232;599;;;
De 35 a 39 años;319;208;527;;;
De 40 a 44 años;296;209;505;;;
De 45 a 49 años;297;198;495;;;
De 50 a 54 años;219;118;337;;;
De 55 a 59 años;153;121;274;;;
De 60 a 64 años;118;62;180;;;
De 65 a 69 años;108;72;180;;;
De 70 a 74 años;76;54;130;;;
De 75 a 79 años;38;24;62;;;
De 80 a 84 años;15;8;23;;;
De 85 a 89 años;3;5;8;;;
De 90 a 94 años;3;1;4;;;
De 95 a 99 años;0;1;1;;;
De 100 años y mas;0;1;1;;;
Total;5657;4606;10263;;;
